,livro,cap,versiculos,texto
0,tg,2,4,"não estarão fazendo discriminação, fazendo julgamentos com critérios errados?"
0,tg,2,5,"Ouçam, meus amados irmãos: não escolheu Deus os que são pobres aos olhos do mundo para serem ricos em fé e herdarem o Reino que ele prometeu aos que o amam?"
0,tg,2,6,Mas vocês têm desprezado o pobre. Não são os ricos que oprimem vocês? Não são eles os que os arrastam para os tribunais?
0,tg,2,7,Não são eles que difamam o bom nome que sobre vocês foi invocado?
0,tg,2,8,"Se vocês de fato obedecerem à lei real encontrada na Escritura que diz: ""Ame o seu próximo como a si mesmo"", estarão agindo corretamente."
0,tg,2,9,"Mas se tratarem os outros com favoritismo, estarão cometendo pecado e serão condenados pela Lei como transgressores."
0,tg,2,10,"Pois quem obedece a toda a Lei, mas tropeça em apenas um ponto, torna-se culpado de quebrá-la inteiramente."
0,tg,2,11,"Pois aquele que disse: ""Não adulterarás"", também disse: ""Não matarás"". Se você não comete adultério, mas comete assassinato, torna-se transgressor da Lei."
0,tg,2,12,Falem e ajam como quem vai ser julgado pela lei da liberdade;
0,tg,2,13,porque será exercido juízo sem misericórdia sobre quem não foi misericordioso. A misericórdia triunfa sobre o juízo!
0,tg,2,14,"De que adianta, meus irmãos, alguém dizer que tem fé, se não tem obras? Acaso a fé pode salvá-lo?"
0,tg,2,15,Se um irmão ou irmã estiver necessitando de roupas e do alimento de cada dia
0,tg,2,16,"e um de vocês lhe disser: ""Vá em paz, aqueça-se e alimente-se até satisfazer-se"", sem porém lhe dar nada, de que adianta isso?"
0,tg,2,17,"Assim também a fé, por si só, se não for acompanhada de obras, está morta."
0,tg,2,18,"Mas alguém dirá: ""Você tem fé; eu tenho obras"". Mostre-me a sua fé sem obras, e eu lhe mostrarei a minha fé pelas obras."
0,tg,2,19,Você crê que existe um só Deus? Muito bem! Até mesmo os demônios crêem — e tremem!
0,tg,2,20,Insensato! Quer certificar-se de que a fé sem obras é inútil?
0,tg,2,21,"Não foi Abraão, nosso antepassado, justificado por obras, quando ofereceu seu filho Isaque sobre o altar?"
0,tg,2,22,"Você pode ver que tanto a fé como as suas obras estavam atuando juntas, e a fé foi aperfeiçoada pelas obras."
0,tg,2,23,"Cumpriu-se assim a Escritura que diz: ""Abraão creu em Deus, e isso lhe foi creditado como justiça"", e ele foi chamado amigo de Deus."
0,tg,2,24,"Vejam que uma pessoa é justificada por obras, e não apenas pela fé."
0,tg,2,25,"Caso semelhante é o de Raabe, a prostituta: não foi ela justificada pelas obras, quando acolheu os espias e os fez sair por outro caminho?"
0,tg,2,26,"Assim como o corpo sem espírito está morto, também a fé sem obras está morta."
0,tg,3,1,"Meus irmãos, não sejam muitos de vocês mestres, pois vocês sabem que nós, os que ensinamos, seremos julgados com maior rigor."
0,tg,3,2,"Todos tropeçamos de muitas maneiras. Se alguém não tropeça no falar, tal homem é perfeito, sendo também capaz de dominar todo o seu corpo."
0,tg,3,3,"Quando colocamos freios na boca dos cavalos para que eles nos obedeçam, podemos controlar o animal todo."
0,tg,3,4,"Tomem também como exemplo os navios; embora sejam tão grandes e impelidos por fortes ventos, são dirigidos por um leme muito pequeno, conforme a vontade do piloto."
0,tg,3,5,"Semelhantemente, a língua é um pequeno órgão do corpo, mas se vangloria de grandes coisas. Vejam como um grande bosque é incendiado por uma simples fagulha."
0,tg,3,6,"Assim também, a língua é um fogo; é um mundo de iniqüidade. Colocada entre os membros do nosso corpo, contamina a pessoa por inteiro, incendeia todo o curso de sua vida, sendo ela mesma incendiada pelo inferno."
0,tg,3,7,"Toda espécie de animais, aves, répteis e criaturas do mar doma-se e é domada pela espécie humana;"
0,tg,3,8,"a língua, porém, ninguém consegue domar. É um mal incontrolável, cheio de veneno mortífero."
0,tg,3,9,"Com a língua bendizemos ao Senhor e Pai, e com ela amaldiçoamos os homens, feitos à semelhança de Deus."
0,tg,3,10,"Da mesma boca procedem bênção e maldição. Meus irmãos, não pode ser assim!"
0,tg,3,11,Acaso pode sair água doce e água amarga da mesma fonte?
0,tg,3,12,"Meus irmãos, pode uma figueira produzir azeitonas ou uma videira, figos? Da mesma forma, uma fonte de água salgada não pode produzir água doce."
0,tg,3,13,"Quem é sábio e tem entendimento entre vocês? Que o demonstre por seu bom procedimento, mediante obras praticadas com a humildade que provém da sabedoria."
0,tg,3,14,"Contudo, se vocês abrigam no coração inveja amarga e ambição egoísta, não se gloriem disso, nem neguem a verdade."
0,tg,3,15,"Esse tipo de ""sabedoria"" não vem do céu, mas é terrena, não é espiritual e é demoníaca."
0,tg,3,16,"Pois onde há inveja e ambição egoísta, aí há confusão e toda espécie de males."
0,tg,3,17,"Mas a sabedoria que vem do alto é antes de tudo pura; depois, pacífica, amável, compreensiva, cheia de misericórdia e de bons frutos, imparcial e sincera."
0,tg,3,18,O fruto da justiça semeia-se em paz para os pacificadores.
0,tg,4,1,De onde vêm as guerras e contendas que há entre vocês? Não vêm das paixões que guerreiam dentro de vocês?
0,tg,4,2,"Vocês cobiçam coisas, e não as têm; matam e invejam, mas não conseguem obter o que desejam. Vocês vivem a lutar e a fazer guerras. Não têm, porque não pedem."
0,tg,4,3,"Quando pedem, não recebem, pois pedem por motivos errados, para gastar em seus prazeres."
0,tg,4,4,"Adúlteros, vocês não sabem que a amizade com o mundo é inimizade com Deus? Quem quer ser amigo do mundo faz-se inimigo de Deus."
0,tg,4,5,Ou vocês acham que é sem razão que a Escritura diz que o Espírito que ele fez habitar em nós tem fortes ciúmes?
0,tg,4,6,"Mas ele nos concede graça maior. Por isso diz a Escritura: ""Deus se opõe aos orgulhosos, mas concede graça aos humildes""."
0,tg,4,7,"Portanto, submetam-se a Deus. Resistam ao diabo, e ele fugirá de vocês."
0,tg,4,8,"Aproximem-se de Deus, e ele se aproximará de vocês! Pecadores, limpem as mãos, e vocês, que têm a mente dividida, purifiquem o coração."
0,tg,4,9,"Entristeçam-se, lamentem e chorem. Troquem o riso por lamento e a alegria por tristeza."
0,tg,4,10,"Humilhem-se diante do Senhor, e ele os exaltará."
0,tg,4,11,"Irmãos, não falem mal uns dos outros. Quem fala contra o seu irmão ou julga o seu irmão, fala contra a Lei e a julga. Quando você julga a Lei, não a está cumprindo, mas está se colocando como juiz."
0,tg,4,12,"Há apenas um Legislador e Juiz, aquele que pode salvar e destruir. Mas quem é você para julgar o seu próximo?"
0,tg,4,13,"Ouçam agora, vocês que dizem: ""Hoje ou amanhã iremos para esta ou aquela cidade, passaremos um ano ali, faremos negócios e ganharemos dinheiro""."
0,tg,4,14,Vocês nem sabem o que lhes acontecerá amanhã! Que é a sua vida? Vocês são como a neblina que aparece por um pouco de tempo e depois se dissipa.
0,tg,4,15,"Ao invés disso, deveriam dizer: ""Se o Senhor quiser, viveremos e faremos isto ou aquilo""."
0,tg,4,16,"Agora, porém, vocês se vangloriam das suas pretensões. Toda vanglória como essa é maligna."
0,tg,4,17,"Pensem nisto, pois: Quem sabe que deve fazer o bem e não o faz, comete pecado."
0,tg,5,1,"Ouçam agora vocês, ricos! Chorem e lamentem-se, tendo em vista a miséria que lhes sobrevirá."
0,tg,5,2,"A riqueza de vocês apodreceu, e as traças corroeram as suas roupas."
0,tg,5,3,"O ouro e a prata de vocês enferrujaram, e a ferrugem deles testemunhará contra vocês e como fogo lhes devorará a carne. Vocês acumularam bens nestes últimos dias."
0,tg,5,4,"Vejam, o salário dos trabalhadores que ceifaram os seus campos, e que por vocês foi retido com fraude, está clamando contra vocês. O lamento dos ceifeiros chegou aos ouvidos do Senhor dos Exércitos."
0,tg,5,5,"Vocês viveram luxuosamente na terra, desfrutando prazeres, e fartaram-se de comida em dia de abate."
0,tg,5,6,"Vocês têm condenado e matado o justo, sem que ele ofereça resistência."
0,tg,5,7,"Portanto, irmãos, sejam pacientes até a vinda do Senhor. Vejam como o agricultor aguarda que a terra produza a preciosa colheita e como espera com paciência até virem as chuvas do outono e da primavera."
0,tg,5,8,"Sejam também pacientes e fortaleçam o coração, pois a vinda do Senhor está próxima."
0,tg,5,9,"Irmãos, não se queixem uns dos outros, para que não sejam julgados. O Juiz já está às portas!"
0,tg,5,10,"Irmãos, tenham os profetas que falaram em nome do Senhor como exemplo de paciência diante do sofrimento."
0,tg,5,11,"Como vocês sabem, nós consideramos felizes aqueles que mostraram perseverança. Vocês ouviram falar sobre a paciência de Jó e viram o fim que o Senhor lhe proporcionou. O Senhor é cheio de compaixão e misericórdia."
0,tg,5,12,"Sobretudo, meus irmãos, não jurem nem pelo céu, nem pela terra, nem por qualquer outra coisa. Seja o sim de vocês, sim, e o não, não, para que não caiam em condenação."
0,tg,5,13,Entre vocês há alguém que está sofrendo? Que ele ore. Há alguém que se sente feliz? Que ele cante louvores.
0,tg,5,14,"Entre vocês há alguém que está doente? Que ele mande chamar os presbíteros da igreja, para que estes orem sobre ele e o unjam com óleo, em nome do Senhor."
0,tg,5,15,"E a oração feita com fé curará o doente; o Senhor o levantará. E se houver cometido pecados, ele será perdoado."
0,tg,5,16,"Portanto, confessem os seus pecados uns aos outros e orem uns pelos outros para serem curados. A oração de um justo é poderosa e eficaz."
0,tg,5,17,"Elias era humano como nós. Ele orou fervorosamente para que não chovesse, e não choveu sobre a terra durante três anos e meio."
0,tg,5,18,"Orou outra vez, e o céu enviou chuva, e a terra produziu os seus frutos."
0,tg,5,19,"Meus irmãos, se algum de vocês se desviar da verdade e alguém o trouxer de volta,"
0,tg,5,20,"lembrem-se disso: Quem converte um pecador do erro do seu caminho, salvará a vida dessa pessoa e fará que muitíssimos pecados sejam perdoados."
