,livro,cap,versiculos,texto
0,os,2,13,"Eu a castigarei pelos dias em que ela queimou incenso aos baalins; ela se enfeitou com anéis e jóias, e foi atrás dos seus amantes, mas de mim, ela se esqueceu"", declara o Senhor."
0,os,2,14,"""Portanto, agora vou atraí-la; vou levá-la para o deserto e vou falar-lhe com carinho."
0,os,2,15,"Ali devolverei a ela as suas vinhas, e farei do vale de Açor uma porta de esperança. Ali ela me responderá como nos dias de sua infância, como no dia em que saiu do Egito."
0,os,2,16,"""Naquele dia"", declara o Senhor, ""você me chamará ‘meu marido’; não me chamará mais ‘meu senhor’."
0,os,2,17,Tirarei dos seus lábios os nomes dos baalins; seus nomes não serão mais invocados.
0,os,2,18,"Naquele dia farei em favor deles um acordo com os animais do campo, com as aves do céu e com os animais que rastejam pelo chão. Arco, espada e guerra, eu os abolirei da terra, para que todos possam viver em paz."
0,os,2,19,"Eu me casarei com você para sempre; eu me casarei com você com justiça e retidão, com amor e compaixão."
0,os,2,20,"Eu me casarei com você com fidelidade, e você reconhecerá o Senhor."
0,os,2,21,"""Naquele dia eu responderei"", declara o Senhor. ""Responderei aos céus, e eles responderão à terra;"
0,os,2,22,"e a terra responderá ao cereal, ao vinho e ao azeite, e eles responderão a Jezreel."
0,os,2,23,"Eu a plantarei para mim mesmo na terra; tratarei com amor aquela que chamei Não amada. Direi àquele chamado ‘Não-meu-povo’: Você é meu povo; e ele dirá: ‘Tu és o meu Deus’.  """
0,os,3,1,"O Senhor me disse: ""Vá, trate novamente com amor sua mulher, apesar de ela ser amada por outro e ser adúltera. Ame-a como o Senhor ama os israelitas, apesar de eles se voltarem para outros deuses e de amarem os bolos sagrados de uvas passas""."
0,os,3,2,Por isso eu a comprei por cento e oitenta gramas de prata e um barril e meio de cevada.
0,os,3,3,"E eu lhe disse: Você viverá comigo por muitos dias; você não será mais prostituta nem será de nenhum outro homem, e eu viverei com você."
0,os,3,4,"Pois os israelitas viverão muitos dias sem rei e sem líder, sem sacrifício e sem colunas sagradas, sem colete sacerdotal e sem ídolos da família."
0,os,3,5,"Depois disso os israelitas voltarão e buscarão o Senhor, o seu Deus, e Davi, seu rei. Virão tremendo atrás do Senhor e das suas bênçãos, nos últimos dias."
0,os,4,1,"Israelitas, ouçam a palavra do Senhor, porque o Senhor tem uma acusação contra vocês que vivem nesta terra: ""A fidelidade e o amor desapareceram desta terra, como também o conhecimento de Deus."
0,os,4,2,"Só se vêem maldição, mentira e assassinatos, roubo e mais roubo, adultério mais adultério; ultrapassam todos os limites! E o derramamento de sangue é constante."
0,os,4,3,"Por causa disso a terra pranteia, e todos os seus habitantes desfalecem; os animais do campo, as aves do céu e os peixes do mar estão morrendo."
0,os,4,4,"""Mas, que ninguém discuta, que ninguém faça acusação, pois sou eu quem acusa os sacerdotes."
0,os,4,5,"Vocês tropeçam dia e noite, e os profetas tropeçam com vocês. Por isso destruirei sua mãe."
0,os,4,6,"Meu povo foi destruído por falta de conhecimento. ""Uma vez que vocês rejeitaram o conhecimento, eu também os rejeito como meus sacerdotes; uma vez que vocês ignoraram a lei do seu Deus, eu também ignorarei seus filhos."
0,os,4,7,"Quanto mais aumentaram os sacerdotes, mais eles pecaram contra mim; trocaram a Glória deles por algo vergonhoso."
0,os,4,8,Eles se alimentam dos pecados do meu povo e têm prazer em sua iniqüidade.
0,os,4,9,"Portanto, castigarei tanto o povo quanto os sacerdotes por causa dos seus caminhos, e lhes retribuirei seus atos."
0,os,4,10,"""Eles comerão, mas não terão o suficiente; eles se prostituirão, mas não aumentarão a prole, porque abandonaram o Senhor para se entregarem"
0,os,4,11,"à prostituição, ao vinho velho e ao novo, o que prejudica o discernimento do meu povo."
0,os,4,12,"Eles pedem conselhos a um ídolo de madeira, e de um pedaço de pau recebem resposta. Um espírito de prostituição os leva a desviar-se; eles são infiéis ao seu Deus."
0,os,4,13,"Sacrificam no alto dos montes e queimam incenso nas colinas, debaixo de um carvalho, de um estoraque ou de um terebinto, onde a sombra é agradável. Por isso as suas filhas se prostituem e as suas noras adulteram."
0,os,4,14,"""Não castigarei suas filhas por se prostituírem, nem suas noras por adulterarem, porque os próprios homens se associam a meretrizes e participam dos sacrifícios oferecidos pelas prostitutas cultuais — um povo sem entendimento precipita-se à ruína!"
0,os,4,15,"""Embora você adultere, ó Israel, que Judá não se torne culpada! ""Deixem de ir a Gilgal; não subam a Bete-Áven. E não digam: ‘Juro pelo nome do Senhor! ’"
0,os,4,16,Os israelitas são rebeldes como bezerra indomável. Como pode o Senhor apascentá-los como cordeiros na campina?
0,os,4,17,Efraim está ligado a ídolos; deixem-no só!
0,os,4,18,"Mesmo quando acaba a bebida, eles continuam em sua prostituição; seus governantes amam profundamente os caminhos vergonhosos."
0,os,4,19,"Um redemoinho os varrerá para longe, e os seus altares lhes trarão vergonha."
0,os,5,1,"""Ouçam isto, sacerdotes! Atenção, israelitas! Escute, ó família real! Esta sentença é contra vocês: Vocês têm sido uma armadilha em Mispá, uma rede estendida sobre o monte Tabor."
0,os,5,2,Os rebeldes estão nvolvidos em matança. Eu disciplinarei todos eles.
0,os,5,3,"Conheço Efraim; Israel não pode se esconder de mim. Efraim, agora você se lançou à prostituição; Israel se corrompeu."
0,os,5,4,"""Suas ações não lhes permitem voltar para o seu Deus. Um espírito de prostituição está no coração deles; não reconhecem o Senhor."
0,os,5,5,A arrogância de Israel testifica contra eles; Israel e Efraim tropeçam em seu pecado; Judá também tropeça com eles.
0,os,5,6,"Quando eles forem buscar o Senhor com todos os seus rebanhos e com todo o seu gado, não o encontrarão; ele se afastou deles."
0,os,5,7,"Traíram ao Senhor; geraram filhos ilegítimos. Agora suas festas de lua nova os devorarão, tanto a eles como as suas plantações."
0,os,5,8,"""Toquem a trombeta em Gibeá, e a corneta em Ramá. Dêem o grito de guerra em Bete-Áven; esteja na vanguarda, ó Benjamim."
0,os,5,9,Efraim será arrasado no dia do castigo. Entre as tribos de Israel eu proclamo o que acontecerá.
0,os,5,10,Os líderes de Judá são como os que mudam os marcos dos limites. Derramarei sobre eles a minha ira como uma inundação.
0,os,5,11,"Efraim está oprimido, esmagado pelo juízo, porque decidiu ir atrás de ídolos."
0,os,5,12,"Sou como uma traça para Efraim, como podridão para o povo de Judá."
0,os,5,13,"""Quando Efraim viu a sua enfermidade, e Judá os seus tumores, Efraim se voltou para a Assíria, e mandou buscar a ajuda do grande rei. Mas ele não tem condições de curar vocês, nem pode sarar os seus tumores."
0,os,5,14,"Pois serei como um leão para Efraim, e como um leão grande para Judá. Eu os despedaçarei e irei embora; eu os levarei, sem que ninguém possa livrá-los."
0,os,5,15,"Então voltarei ao meu lugar até que eles admitam sua culpa. E eles buscarão a minha face; em sua necessidade eles me buscarão ansiosamente""."
0,os,6,1,"""Venham, voltemos para o Senhor. Ele nos despedaçou, mas nos trará cura; ele nos feriu, mas sarará nossas feridas."
0,os,6,2,"Depois de dois dias ele nos dará vida novamente; ao terceiro dia nos restaurará, para que vivamos em sua presença."
0,os,6,3,"Conheçamos o Senhor; esforcemo-nos por conhecê-lo. Tão certo como nasce o sol, ele aparecerá; virá para nós como as chuvas de inverno, como as chuvas de primavera que regam a terra. """
0,os,6,4,"""Que posso fazer com você, Efraim? Que posso fazer com você, Judá? Seu amor é como a neblina da manhã, como o primeiro orvalho que logo evapora."
0,os,6,5,"Por isso eu os despedacei por meio dos meus profetas, eu os matei com as palavras da minha boca; os meus juízos reluziram como relâmpagos sobre vocês."
0,os,6,6,"Pois desejo misericórdia, não sacrifícios, e conhecimento de Deus em vez de holocaustos."
0,os,6,7,"Na cidade de Adão, eles quebraram a aliança, e me foram infiéis."
0,os,6,8,"Gileade é uma cidade de ímpios, maculada de sangue."
0,os,6,9,"Assim como os assaltantes ficam de emboscada à espera de um homem, assim fazem também os bandos de sacerdotes; eles assassinam na estrada de Siquém e cometem outros crimes vergonhosos."
0,os,6,10,"Vi uma coisa terrível na terra de Israel. Ali Efraim se prostitui, e Israel está contaminado""."
0,os,6,11,"""Também para você, Judá, foi determinada uma colheita para quando eu trouxer de volta o meu povo."
0,os,7,1,"""Quando eu tento curar Israel, o mal de Efraim fica exposto e os crimes de Samaria são revelados. Pois praticam o engano, ladrões entram nas casas, bandidos roubam nas ruas;"
0,os,7,2,mas eles não percebem que eu me lembro de todas as suas más obras. Seus pecados os envolvem; eu os vejo constantemente.
0,os,7,3,"""Eles alegram o rei com as suas impiedades, os líderes com as suas mentiras."
0,os,7,4,"São todos adúlteros, queimando como um forno cujo fogo o padeiro não precisa atiçar desde sova a massa até quando a faz crescer."
0,os,7,5,"No dia da festa de nosso rei os líderes são inflamados pelo vinho, e ele dá as mãos aos zombadores."
0,os,7,6,"Quando se aproximam com suas intrigas, seus corações ardem como um forno. A fúria deles arde lentamente, a noite toda; pela manhã queima como chama abrasadora."
0,os,7,7,"Todos eles se esquentam como um forno, e devoram os seus governantes. Todos os seus reis caem, e ninguém clama a mim."
0,os,7,8,"""Efraim mistura-se com as nações; Efraim é um bolo que não foi virado."
0,os,7,9,"Estrangeiros sugam sua força, mas ele não o percebe. A cinza espalha-se pelo seu cabelo, mas ele nem repara."
0,os,7,10,"A arrogância de Israel testifica contra ele, mas, apesar de tudo isso, ele não se volta para o Senhor, para o seu Deus, e não o busca."
0,os,7,11,"""Efraim é como uma pomba facilmente enganada e sem entendimento; uma hora apela para o Egito, outra hora se volta para a Assíria."
0,os,7,12,"Quando se forem, atirarei sobre eles a minha rede; eu os farei descer como as aves do céu. Quando os ouvir se reunindo, eu os apanharei."
0,os,7,13,"Ai deles, porque se afastaram de mim! Destruição sobre eles, porque se rebelaram contra mim! Eu desejo redimi-los, mas eles falam mentiras a meu respeito."
0,os,7,14,"Eles não clamam a mim do fundo do coração quando gemem orando em suas camas. Ajuntam-se por causa do trigo e do vinho, mas se afastam de mim."
0,os,7,15,"Eu os ensinei e os fortaleci, mas eles tramam o mal contra mim."
0,os,7,16,Eles não se voltam para o Altíssimo; são como um arco defeituoso. Seus líderes serão mortos à espada por causa de suas palavras insolentes. E por isso serão ridicularizados no Egito.
0,os,8,1,"""Coloquem a trombeta em seus lábios! É como uma águia sobre o templo do Senhor, porquanto quebraram a minha aliança e se rebelaram contra a minha Lei."
0,os,8,2,"Israel clama a mim: ‘Ó nosso Deus, nós te reconhecemos! ’"
0,os,8,3,Mas Israel rejeitou o que é bom; um inimigo o perseguirá.
0,os,8,4,"Eles instituíram reis sem o meu consentimento; escolheram líderes sem a minha aprovação. Com prata e ouro fizeram ídolos para si, para a sua própria destruição."
0,os,8,5,"Lance fora o seu ídolo em forma de bezerro, ó Samaria! A minha ira se acende contra eles. Até quando serão incapazes de pureza?"
0,os,8,6,Este bezerro procede de Israel! Um escultor o fez. Ele não é Deus. Será partido em pedaços o bezerro de Samaria.
0,os,8,7,"""Eles semeiam vento e colhem tempestade. O talo não tem espiga; não produzirá farinha. Caso produzisse o trigo, estrangeiros o devorariam."
0,os,8,8,Israel é devorado; agora está entre as nações como algo sem valor.
0,os,8,9,"Pois eles foram para a Assíria. O jumento selvagem mantém-se livre, mas Efraim vendeu-se para os seus amantes."
0,os,8,10,"Embora se tenham vendido às nações, agora os ajuntarei, e logo começarão a definhar sob a opressão do rei poderoso."
0,os,8,11,"""Embora Efraim tenha construído muitos altares para ofertas pelo pecado, eles se tornaram altares para o pecado."
0,os,8,12,"Eu lhes escrevi todos os ensinos da minha Lei, mas eles os consideraram algo estranho."
0,os,8,13,"Eles me oferecem sacrifícios e comem a carne, mas o Senhor não se agrada deles. Doravante, ele se lembrará da impiedade deles e castigará os seus pecados: eles voltarão para o Egito."
0,os,8,14,"Israel esqueceu o seu Criador e construiu palácios; Judá fortificou muitas cidades. Mas sobre as suas cidades enviarei fogo que consumirá suas fortalezas. """
0,os,9,1,"Não se regozije, ó Israel; não se alegre como as outras nações. Pois você se prostituiu, abandonando o seu Deus; você ama o salário da prostituição em cada eira de trigo."
0,os,9,2,Os produtos da eira e do lagar não alimentarão o povo; o vinho novo lhes faltará.
0,os,9,3,"Eles não permanecerão na terra do Senhor; Efraim voltará para o Egito, e na Assíria comerá comida impura."
0,os,9,4,"Eles não derramarão ofertas de vinho para o Senhor, nem o agradarão os seus sacrifícios. Tais sacrifícios serão para eles como o pão dos pranteadores, que torna impuro quem o come. Essa comida será para eles mesmos; não entrará no templo do Senhor."
0,os,9,5,"O que farão vocês no dia de suas festas fixas, nos dias de festa do Senhor?"
0,os,9,6,"Vejam! Fogem da destruição, mas o Egito os ajuntará, e Mênfis os sepultará. Os seus tesouros de prata as urtigas vão herdar; os cardos cobrirão totalmente as suas tendas."
0,os,9,7,"Os dias de castigo vêm, os dias de punição estão chegando. Que Israel o saiba. Por serem tantos os pecados, e tanta a hostilidade de vocês, o profeta é considerado um tolo, o homem inspirado, um louco violento."
0,os,9,8,"O profeta, junto ao meu Deus, é a sentinela que vigia Efraim, contudo, laços o aguardam em todas as suas veredas, e a hostilidade no templo do seu Deus."
0,os,9,9,"Eles mergulharam na corrupção, como nos dias de Gibeá. Deus se lembrará de sua iniqüidade e os castigará por seus pecados."
0,os,9,10,"""Quando encontrei Israel, foi como encontrar uvas no deserto; quando vi os antepassados de vocês, foi como ver os primeiros frutos de uma figueira. Mas, quando eles vieram a Baal-Peor, consagraram-se àquele ídolo vergonhoso e se tornaram tão repugnantes quanto aquilo que amaram."
0,os,9,11,"A glória de Efraim lhe fugirá como pássaro: nenhum nascimento, nenhuma gravidez, nenhuma concepção."
0,os,9,12,"Mesmo que criem filhos, porei de luto cada um deles. Ai deles quando eu me afastar!"
0,os,9,13,"Vi Efraim, plantado num lugar agradável, como Tiro. Mas Efraim entregará seus filhos ao matador. """
0,os,9,14,"Ó Senhor, que darás a eles? Dá-lhes ventres que abortem e seios ressecados."
0,os,9,15,"""Toda a sua impiedade começou em Gilgal; de fato, ali eu os odiei. Por causa dos seus pecados, eu os expulsarei da minha terra. Não os amarei mais; todos os seus líderes são rebeldes."
0,os,9,16,"Efraim está ferido, sua raiz está seca, eles não produzem frutos. Mesmo que criem filhos, eu matarei sua querida prole. """
0,os,9,17,Meu Deus os rejeitará porque não lhe deram ouvidos; serão peregrinos entre as nações.
0,os,10,1,"Israel era como videira viçosa; cobria-se de frutos. Quanto mais produzia, mais altares construía; Quanto mais sua terra prosperava, mais enfeitava suas colunas sagradas."
0,os,10,2,"O coração deles é enganoso, e agora devem carregar sua culpa. O Senhor demolirá os seus altares e destruirá suas colunas sagradas."
0,os,10,3,"Então eles dirão: ""Não temos nenhum rei porque não reverenciamos o Senhor. Mas, mesmo que tivéssemos um rei, o que ele poderia fazer por nós? """
0,os,10,4,"Eles fazem muitas promessas, fazem juramentos e acordos falsos; por isso brotam processos judiciais como ervas venenosas num campo arado."
0,os,10,5,"O povo que mora em Samaria teme pelo ídolo em forma de bezerro de Bete-Áven. Seu povo pranteará por ele, como também os seus sacerdotes idólatras, que se regozijavam por seu esplendor; porque foi tirado deles e levado para o exílio."
0,os,10,6,"Sim, até ele será levado para a Assíria como tributo para o grande rei. Efraim sofrerá humilhação; e Israel será envergonhado pelo seu ídolo de madeira."
0,os,10,7,Samaria e seu rei serão arrastados como um graveto nas águas.
0,os,10,8,"Os altares da impiedade, que foram os pecados de Israel, serão destruídos. Espinhos e ervas daninhas crescerão e cobrirão os seus altares. Então eles dirão aos montes: ""Cubram-nos! "", e às colinas: ""Caiam sobre nós! """
0,os,10,9,"""Desde os dias de Gibeá, você tem pecado, ó Israel, e não mudou. Acaso a guerra não os alcançou em Gibeá por causa dos malfeitores?"
0,os,10,10,"Quando eu quiser, os castigarei; nações serão reunidas contra eles para prendê-los por causa do seu duplo pecado."
0,os,10,11,"Efraim era bezerra treinada, gostava muito de trilhar; por isso colocarei o jugo sobre o seu belo pescoço. Conduzirei Efraim, Judá terá que arar, e Jacó fará sulcos no solo."
0,os,10,12,"Semeiem a retidão para si, colham o fruto da lealdade, e façam sulcos no seu solo não arado; pois é hora de buscar o Senhor, até que ele venha e faça chover justiça sobre vocês."
0,os,10,13,"Mas vocês plantaram a impiedade, colheram o mal e comeram o fruto do engano. Visto que vocês têm confiado na sua própria força e nos seus muitos guerreiros,"
0,os,10,14,"o fragor da batalha se levantará contra vocês, de maneira que todas as suas fortalezas serão devastadas, como Salmã devastou Bete-Arbel no dia da batalha, quando mães foram pisadas e estraçalhadas junto com seus filhos."
0,os,10,15,"Assim acontecerá com você, ó Betel, porque a sua impiedade é grande. Quando amanhecer aquele dia, o rei de Israel será completamente destruído."
0,os,11,1,"""Quando Israel era menino, eu o amei, e do Egito chamei o meu filho."
0,os,11,2,"Mas, quanto mais eu o chamava, mais eles se afastavam de mim. Eles ofereceram sacrifícios aos baalins e queimaram incenso os ídolos esculpidos."
0,os,11,3,"Mas fui eu quem ensinou Efraim a andar, tomando-o nos braços; mas eles não perceberam que fui eu quem os curou."
0,os,11,4,Eu os conduzi com laços de bondade humana e de amor; tirei do seu pescoço o jugo e me inclinei para alimentá-los.
0,os,11,5,"""Acaso não voltarão ao Egito e a Assíria não os dominará porque eles se recusam a arrepender-se?"
0,os,11,6,"A espada reluzirá em suas cidades, destruirá as trancas de suas portas e dará fim aos seus planos."
0,os,11,7,"O meu povo está decidido a desviar-se de mim. Embora sejam conclamados a servir ao Altíssimo, de modo algum o exaltam."
0,os,11,8,"""Como posso desistir de você, Efraim? Como posso entregar você nas mãos de outros, Israel? Como posso tratá-lo como tratei Admá? Como posso fazer com você o que fiz com Zeboim? O meu coração está enternecido, despertou-se toda a minha compaixão."
0,os,11,9,"Não executarei a minha ira impetuosa, não tornarei a destruir Efraim. Pois sou Deus, e não homem, o Santo no meio de vocês. Não virei com ira."
0,os,11,10,"Eles seguirão o Senhor; ele rugirá como leão. Quando ele rugir, os seus filhos virão tremendo desde o Ocidente."
0,os,11,11,"Virão voando do Egito como aves, da Assíria como pombas. Eu os estabelecerei em seus lares""; palavra do Senhor."
0,os,11,12,"Efraim me cercou de mentiras, a casa de Israel de enganos, e Judá é rebelde contra Deus, a saber, contra o Santo fiel."
0,os,12,1,Efraim alimenta-se de vento; vai atrás do vento oriental o dia inteiro e multiplica mentiras e violência. Faz tratados com a Assíria e manda azeite para o Egito.
0,os,12,2,"O Senhor tem uma acusação contra Judá, e vai castigar Jacó de acordo com os seus caminhos; de acordo com suas ações lhe retribuirá."
0,os,12,3,No ventre da mãe segurou o calcanhar de seu irmão; como homem lutou com Deus.
0,os,12,4,Ele lutou com o anjo e saiu vencedor; chorou e implorou o seu favor. Em Betel encontrou a Deus que ali conversou com ele.
0,os,12,5,"Sim, o próprio Senhor, o Deus dos Exércitos! Senhor é o nome pelo qual ficou famoso."
0,os,12,6,"Portanto, volte para o seu Deus; pratique a lealdade e a justiça, e confie sempre no seu Deus."
0,os,12,7,"Como os descendentes de Canaã, comerciantes que usam balança desonesta e gostam muito de extorquir,"
0,os,12,8,"Efraim orgulha-se e exclama: ""Como fiquei rico e abastado! Em todos os trabalhos que realizei, não encontrarão em mim nenhum crime ou pecado""."
0,os,12,9,"""Mas eu sou o Senhor, o seu Deus, desde a terra do Egito; farei vocês voltarem a morar em tendas, como no dia de suas festas fixas."
0,os,12,10,"Eu mesmo falava aos profetas, dava-lhes muitas visões, e por meio deles falava em parábolas. """
0,os,12,11,"Como Gileade é ímpia! Seu povo não vale nada! Eles sacrificam bois em Gilgal, mas os seus altares são como montes de pedras num campo arado."
0,os,12,12,Jacó fugiu para a terra de Arã; Israel trabalhou para obter uma mulher; por ela cuidou de ovelhas.
0,os,12,13,"O Senhor usou um profeta para tirar Israel do Egito, e por meio de um profeta cuidou dele."
0,os,12,14,Efraim amargamente o provocou à ira; seu Senhor fará cair sobre ele a culpa do sangue que derramou e lhe devolverá o seu desprezo.
0,os,13,1,"Quando Efraim falava, os homens tremiam; ele era exaltado em Israel. Mas tornou-se culpado da adoração de Baal e começou a morrer."
0,os,13,2,"Agora eles pecam cada vez mais; com sua prata fazem ídolos de metal para si, imagens modeladas com muita inteligência, todas elas obras de artesãos. Dizem desse povo: ""Eles oferecem sacrifício humano e beijam os ídolos feitos em forma de bezerro""."
0,os,13,3,"Por isso serão como a neblina da manhã, como o orvalho que bem cedo evapora, como palha que num redemoinho vai-se de uma eira, como a fumaça que sai pela chaminé."
0,os,13,4,"""Mas eu sou o Senhor, o seu Deus, desde a terra do Egito. Vocês não reconhecerão nenhum outro Deus além de mim, nenhum outro Salvador senão a mim."
0,os,13,5,"Eu cuidei de vocês no deserto, naquela terra de calor ardente."
0,os,13,6,"Quando eu os alimentava, ficavam satisfeitos; quando ficavam satisfeitos, se orgulhavam, e então me esqueciam."
0,os,13,7,"Por isso virei sobre eles como leão, como leopardo, ficarei à espreita junto ao caminho."
0,os,13,8,"Como uma ursa de quem roubaram os filhotes, eu os atacarei e os rasgarei. Como leão eu os devorarei; um animal selvagem os despedaçará."
0,os,13,9,"""Você foi destruído, ó Israel, porque está contra mim, contra o seu ajudador."
0,os,13,10,"E agora? Onde está o seu rei que havia de salvá-lo em todas as suas cidades? E os oficiais que você pediu, dizendo: ‘Dá-me um rei e líderes’?"
0,os,13,11,"Dei-lhe um rei na minha ira, e o tirei na minha indignação."
0,os,13,12,"A culpa de Efraim foi anotada, seus pecados são mantidos em registro."
0,os,13,13,"Chegam-lhe dores como as da mulher em trabalho de parto, mas ele não é uma criança inteligente; quando chega a hora, não sai do ventre que abrigou."
0,os,13,14,"""Eu os redimirei do poder da sepultura; eu os resgatarei da morte. Onde estão, ó morte, as suas pragas? Onde está, ó sepultura, a sua destruição? ""Não terei compaixão alguma,"
0,os,13,15,"embora ele floresça entre os seus irmãos. Um vento oriental virá da parte do Senhor, soprando desde o deserto; sua fonte falhará, e seu poço secará. Todos os seus tesouros serão saqueados dos seus depósitos."
0,os,13,16,"O povo de Samaria carregará sua culpa, porque se rebelou contra o seu Deus. Eles serão mortos à espada; seus pequeninos serão pisados e despedaçados, suas mulheres grávidas terão rasgados os seus ventres. """
0,os,14,1,"Volte, ó Israel, para o Senhor, para o seu Deus. Seus pecados causaram sua queda!"
0,os,14,2,"Preparem o que vão dizer e voltem para o Senhor. Peçam-lhe: ""Perdoa todos os nossos pecados e, por misericórdia, recebe-nos, para que te ofereçamos o fruto dos nossos lábios."
0,os,14,3,"A Assíria não nos pode salvar; não montaremos cavalos de guerra. Nunca mais diremos: ‘Nossos deuses’ àquilo que as nossas próprias mãos fizeram, porque tu amas o órfão."
0,os,14,4,"""Eu curarei a infidelidade deles e os amarei de todo o meu coração, pois a minha ira desviou-se deles."
0,os,14,5,Serei como orvalho para Israel; ele florescerá como o lírio. Como o cedro do Líbano aprofundará suas raízes;
0,os,14,6,"seus brotos crescerão. Seu esplendor será como o da oliveira, sua fragrância como a do cedro do Líbano."
0,os,14,7,"Os que habitavam à sua sombra voltarão. Reviverão como o trigo. Florescerão como a videira, e a fama de Israel será como o do vinho do Líbano."
0,os,14,8,"O que Efraim ainda tem com ídolos? Sou eu que lhe respondo e dele cuidarei. Sou como um pinheiro verde; o fruto que você produz de mim procede""."
0,os,14,9,"Quem é sábio? Aquele que considerar essas coisas. Quem tem discernimento? Aquele que as compreender. Os caminhos do Senhor são justos; os justos andam neles, mas os rebeldes neles tropeçam."
